tableA_id,tableA_title,tableA_authors,tableA_venue,tableA_year,tableB_id,tableB_title,tableB_authors,tableB_venue,tableB_year,label
2320,Efficient Exploration of Large Scientific Databases,"Gustavo Alonso, Etzard Stolte",VLDB,2002,60536,Efficient Exploration of Large Scientific Databases,"E Stolte, G Alonso","VLDB,",2002.0,1
2102,Dal?: A High Performance Main Memory Storage Manager,"S. Sudarshan, H. V. Jagadish, Rajeev Rastogi, Abraham Silberschatz, Daniel F. Lieuwen",VLDB,1994,49835,Multicultural Approaches to Portfolio Development,E Michelson,"New Directions for Adult and Continuing Education,",1997.0,0
2451,Infomaster: An Information Integration System,"Arthur M. Keller, Michael R. Genesereth, Oliver M. Duschka",SIGMOD Conference,1997,6974,"Virtual Instrument What they are, where they??² re at",P Benneff,"Electronic Products,",nan,0
919,Accessing Relational Databases from the World Wide Web,"Tam Nguyen, V. Srinivasan",SIGMOD Conference,1996,39600,Ascending price Vickrey auctions using primal-dual algorithms,"D Mishra, DC Parkes","Submitted for publication,",2004.0,0
452,Sideway Value Algebra for Object-Relational Databases,"Z. Meral ?zsoyoglu, Gultekin ?zsoyoglu, Abdullah Al-Hamdani, ?zg?r Ulusoy, Selma Ayse ?zel, Ismail Seng?r Alting?vde",VLDB,2002,17327,"THESUS, a Closer View on Web Content Management Enhanced with Link Semantics",B Nguyen,"IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,",2004.0,0
1806,IPSOFACTO: A Visual Correlation Tool for Aggregate Network Traffic Data,"Yunyue Zhu, S. Muthukrishnan, Flip Korn",SIGMOD Conference,2003,33707,Avatar-mediated Face Tracking and Lip Reading for Human Computer Interaction,"X Wei, L Yin, Z Zhu, Q Ji","Proceedings of the 12th annual ACM international conference  &hellip;,",2004.0,0
940,Index Research: Forest or Trees? (Panel Abstract),Joseph M. Hellerstein,SIGMOD Conference,2000,58897,Indexing Research: Forest or Trees?,JM Hellerstein,"SIGMOD RECORD,",2000.0,1
1348,Guidelines for Presentation and Comparison of Indexing Techniques,"Kotagiri Ramamohanarao, Alistair Moffat, Justin Zobel",SIGMOD Record,1996,18842,Variability in models for recurrent epidemics,AL Lloyd,2001,nan,0
1941,What Happens During a Join? Dissecting CPU and Memory Optimization Effects,"Stefan Manegold, Martin L. Kersten, Peter A. Boncz",VLDB,2000,43206,Formation and photophysics of a stable concave???convex supramolecular complex of C 60 and a,"DI Schuster, J Rosenthal, S MacMahon, PD Jarowski,","Acc. Chem. Res,",1994.0,0
189,Editor's Notes,Jennifer Widom,SIGMOD Record,1996,57390,Evolution towards specifications environment: experiences with syntax editors,MV Zelkowitz,"Information and Software Technology,",1990.0,0
299,"Declarative Data Cleaning: Language, Model, and Algorithms","Daniela Florescu, Cristian-Augustin Saita, Eric Simon, Dennis Shasha, Helena Galhardas",VLDB,2001,7406,J. A Normal Form for Abstract Syntax,SMI Smith,"Proc. Int. Conf. on Very Large Data Bases, West Berlin,",nan,0
1570,TODS Perceptions and Misconceptions,Richard T. Snodgrass,SIGMOD Record,2002,50902,Improving the procurement process: humanizing accountants with a human factors education,P Scown,nan,nan,0
2202,"Don't Be Lazy, Be Consistent: Postgres-R, A New Way to Implement Database Replication","Bettina Kemme, Gustavo Alonso",VLDB,2000,1660,I. Announcements,"II Business, IIIP Items",2002,nan,0
49,How to Modify SQL Queries in Order to Guarantee Sure Answers,Hans-Joachim Klein,SIGMOD Record,1994,6869,The Cost of General Education.,RP Lisensky,"New Directions for Higher Education,",1993.0,0
1009,Database Design with Common Sense Business Reasoning and Learning,"Debabrata Dey, Roger H. L. Chiang, Shankar Sundaresan, Robert C. Goldstein, Veda C. Storey",ACM Trans. Database Syst.,1997,42918,Database Design with Common Sense Business Reasoning and Learning,"VC Storey, RHL Chiang, D Dey, RC Goldstein, S","ACM TRANSACTIONS ON DATABASE SYSTEMS,",1997.0,1
2026,XISS/R: XML Indexing and Storage System using RDBMS,"Philip J. Harding, Bongki Moon, Quanzhong Li",VLDB,2003,46979,Detection and Classification of Intrusions and Faults using Sequences of System Calls,"JBD Cabrera, L Lewis, RK Mehra","SIGMOD Record,",2001.0,0
1991,StatiX: making XML count,"Jayant R. Haritsa, Juliana Freire, Maya Ramanath, Prasan Roy, J?r?me Sim?on",SIGMOD Conference,2002,51764,TROJAN: A High-Performance Simulator for Parallel Shared-Memory Architectures,"D Park961 Park, RH Saavedra","Procs. 29th Annual Simulation Symp., New Orleans, April,",nan,0
731,"Data-Driven, One-To-One Web Site Generation for Data-Intensive Applications","Stefano Paraboschi, Piero Fraternali, Stefano Ceri",VLDB,1999,48152,Development of Parlay-based Applications Using UML and SDL,"M Koltsidas, O Prnjat, L Sacks","Third IFIP/IEEE International Conference on Management of  &hellip;,",nan,0
1084,A Probabilistic Relational Model and Algebra,"Debabrata Dey, Sumit Sarkar",ACM Trans. Database Syst.,1996,19895,The Scholarship of Teaching and Its Implementation in Faculty Development and Graduate Education,C Kreber,"New Directions for Teaching and Learning,",2001.0,0
724,Efficient filtering of XML documents with XPath expressions,"Rajeev Rastogi, Pascal Felber, Chee Yong Chan, Minos N. Garofalakis",VLDB J.,2002,35678,Efficient filtering of XML documents with XPath expressions,"CY Chan, P Felber, M Garofalakis, R Rastogi","The VLDB Journal The International Journal on Very Large  &hellip;,",2002.0,1
263,Approximate Query Translation Across Heterogeneous Information Sources,"Hector Garcia-Molina, Kevin Chen-Chuan Chang",VLDB,2000,40014,Processing Aggregate Relational Queries with Hard Time Constraints,"WC Hou, BK Taneja",nan,nan,0
1351,Mining Multi-Dimensional Constrained Gradients in Data Cubes,"Jiawei Han, Ke Wang, Joyce M. W. Lam, Guozhu Dong, Jian Pei",VLDB,2001,3893,Transgenic cotton present and future,GM Jividen,"Proceedings of the 23rd International Cotton Conference,",nan,0
524,Chip-Secured Data Access: Reconciling Access Rights with Data Encryption,"Philippe Pucheral, Lilan Wu, Luc Bouganim, Fran?ois Dang Ngoc",VLDB,2003,20064,Strip speed measurement using distributed infra-red detectors,EM Deeley,nan,nan,0
1250,Implementing Deductive Databases by Mixed Integer Programming,"Anil Nerode, Colin Bell, Raymond T. Ng, V. S. Subrahmanian",ACM Trans. Database Syst.,1996,39548,Advantages of mizoribine over azathioprine in combination therapy with cyclosporine for renal,"K Mita, N Akiyama, T Nagao, H Sugimoto, S Inoue, T","Transplant Proc,",1990.0,0
2078,Implementing Crash Recovery in QuickStore: A Performance Study,"Seth J. White, David J. DeWitt",SIGMOD Conference,1995,42511,Implementation and Analysis of a Parallel Collection Query Language,D Suciu,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1996.0,0
140,Thinksheet: A Tool for Tailoring Complex Documents,"Dao-I Lin, Peter Piatko, Roman Yangarber, Dennis Shasha",SIGMOD Conference,1996,4820,Out of Mind but Back in Sight: Stereotypes on the Rebound,"CN Macrae, GV Bodenhausen, AB Milne, J Jetten","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1994.0,0
662,On Supporting Containment Queries in Relational Database Management Systems,"Guy M. Lohman, David J. DeWitt, Qiong Luo, Jeffrey F. Naughton, Chun Zhang",SIGMOD Conference,2001,58080,A formal approach to scheduling and loop winding,"CT Hwang, JH Lee, YC Hsu",Proc. 28th IEEE/ACM,nan,0
490,Using Probabilistic Information in Data Integration,"Alon Y. Levy, Daniela Florescu, Daphne Koller",VLDB,1997,56425,Collaborative tools and processes to support software engineering shift work,"I Gorton, I Hawryszkiewycz, K Ragoonaden","BT Technology Journal,",1997.0,0
1601,Hyperqueries: Dynamic Distributed Query Processing on the Internet,"Alfons Kemper, Christian Wiesner",VLDB,2001,52103,Video Transport over Wireless Networks,"H Garudadri, P Sagetong, S Nanda","Proceedings of the 12th annual ACM international conference  &hellip;,",2004.0,0
24,High Level Indexing of User-Defined Types,"Brian T. Tran, Jyh-Herng Chow, Michelle Jou, Jean Grandbois, Yun Wang, You-Chin Fuh, Weidong Chen, Nelson Mendon?a Mattos",VLDB,1999,10573,MNRAS,"C P?©roux, RG McMahon, L Storrie-Lombardi, M Irwin",2001,nan,0
1882,Editor's Notes,Michael J. Franklin,SIGMOD Record,1999,43120,Planet usher: an interactive home movie,P Tarrant,"Proceedings of the 12th annual ACM international conference  &hellip;,",2004.0,0
315,Fast Subsequence Matching in Time-Series Databases,"M. Ranganathan, Christos Faloutsos, Yannis Manolopoulos",SIGMOD Conference,1994,29570,Imprecise schema: a rationale for relations with embedded subrelations,"HM Dreizen, SK Chang","ACM Transactions on Database Systems,",1989.0,0
2309,Selectivity Estimation Without the Attribute Value Independence Assumption,"Viswanath Poosala, Yannis E. Ioannidis",VLDB,1997,50149,Selectivity Estimation Without the Attribute Value Independence Assumption,"V Poosala, YE Ioannidis","VLDB,",1997.0,1
2119,Histogram-Based Approximation of Set-Valued Query-Answers,"Viswanath Poosala, Yannis E. Ioannidis",VLDB,1999,39309,Disability-based casemix for elderly people in integrated care services,"N Dubuc, H H?©bert, J Desrosiers, M Buteau",nan,nan,0
1880,AniPQO: Almost Non-intrusive Parametric Query Optimization for Nonlinear Cost Functions,"Arvind Hulgeri, S. Sudarshan",VLDB,2003,3746,Concurrency Control for Distributed Real-Time Databases,"LSR Rajkumar, JP Lehoczky",ACM SIGMOD Record (Mar.,nan,0
95,Path sharing and predicate evaluation for high-performance XML filtering,"Yanlei Diao, Hao Zhang, Peter M. Fischer, Michael J. Franklin, Mehmet Altinel",ACM Trans. Database Syst.,2003,24260,Performance analysis of finitebuffered multistage interconnection networks,C Evequoz,"Tech. Report, Ecole Polytechnique de Montreal, Canada, June 1994",nan,0
605,BOAT-Optimistic Decision Tree Construction,"Wei-Yin Loh, Raghu Ramakrishnan, Venkatesh Ganti, Johannes Gehrke",SIGMOD Conference,1999,29104,The Indiana Postsecondary-Encouragement Experiment.,"D Hossler, J Schmit","New Directions for Higher Education,",1995.0,0
1849,An Extendible Hash for Multi-Precision Similarity Querying of Image Databases,"M. Tamer ?zsu, Shu Lin, Raymond T. Ng, Vincent Oria",VLDB,2001,32796,Talisman: commodity realtime 3D graphics for the PC,"J Torborg, JT Kajiya","Proceedings of the 23rd annual conference on Computer  &hellip;,",1996.0,0
1204,MOCHA: A Self-Extensible Database Middleware System for Distributed Data Sources,"Manuel Rodriguez-Martinez, Nick Roussopoulos",SIGMOD Conference,2000,16044,MOCHA: A Self-Extensible Database Middleware System for Distributed Data Sources,M Rodriguez,nan,nan,1
1676,On-line Reorganization in Object Databases,"S. Sudarshan, Rajeev Rastogi, S. Seshadri, Mohana Krishna Lakhamraju",SIGMOD Conference,2000,57826,Validity typologies and the logic and practice of quasi-experimentation,MM Mark,"New Directions for Program Evaluation,",1986.0,0
2368,VIPAS: Virtual Link Powered Authority Search in the Web,"Ming-Syan Chen, Chi-Chun Lin",VLDB,2003,50389,Refutational texts and the change process,CR Hynd,"International Journal of Educational Research,",2001.0,0
2027,Implementation of SQL3 Structured Types with Inheritance and Value Substitutability,"Nelson Mendon?a Mattos, Serge Rielau, Bruce G. Lindsay, Stefan De?loch, You-Chin Fuh, Brian T. Tran, Danko Mannhaupt, Linda DeMichel, Weidong Chen",VLDB,1999,8979,Understanding the effects of developer activities on inspection interval,"DM Mancl, AA Porter, HP Siy, LG Votta Jr","PROC INT CONF SOFTWARE ENG,",1997.0,0
1803,"Title, Foreword",?,VLDB J.,1994,57126,Are there national boundaries in cyberspace? Evidence from the Algerian transnational community,M Collyer,"Geography,",nan,0
1835,Index Structures for Selective Dissemination of Information Under the Boolean Model,"Tak W. Yan, Hector Garcia-Molina",ACM Trans. Database Syst.,1994,58748,Advocacy Groups Claim Free Speech Imperiled,B Sullivan,"Computerworld,",nan,0
346,Optimization of Dynamic Query Evaluation Plans,"Goetz Graefe, Richard L. Cole",SIGMOD Conference,1994,57434,Gordon Bell Prize winners,"AH Karp, D Heller, H Simon","IEEE Computer,",nan,0
1676,On-line Reorganization in Object Databases,"S. Sudarshan, Rajeev Rastogi, S. Seshadri, Mohana Krishna Lakhamraju",SIGMOD Conference,2000,29496,Superhard nc-TiN/a-BN/a-TiB2 and nc-MnN/a-metal Nanocrystalline Composite Coatings,P Karvankova,"Munich: Technical University Munich,",nan,0
1671,Report on the 24th European Colloquium on Information Retrieval Research,"Mark Girolami, Fabio Crestani",SIGMOD Record,2002,18086,Presupposition Triggered by Temporal Connectives,F Schilder,nan,nan,0
1880,AniPQO: Almost Non-intrusive Parametric Query Optimization for Nonlinear Cost Functions,"Arvind Hulgeri, S. Sudarshan",VLDB,2003,23490,Submodule Construction for Systems of I/O Automata,"J Drissi, G Bochmann",submitted for,nan,0
1866,Object Database Evolution Using Separation of Concerns,"Peter Sawyer, Awais Rashid",SIGMOD Record,2000,47914,Mobile Java Objects,"AJ Herbert, R Hayton, M Bursell","BT Technology Journal,",1999.0,0
1022,In-Memory Data Management for Consumer Transactions The Times-Ten Approach,Times-Ten Team,SIGMOD Conference,1999,18787,Physics 134 Lectures: Spring quarter,P Lubin,"University of California, Santa Barbara,",nan,0
606,Continuously adaptive continuous queries over streams,"Samuel Madden, Mehul A. Shah, Vijayshankar Raman, Joseph M. Hellerstein",SIGMOD Conference,2002,59765,Pogo: a declarative representation system for graphics,"MA Tarlton, PN Tarlton","Acm Press Frontier Series,",1989.0,0
130,In Memory of G?sli R. Hjaltason,Bj?rn ??r J?nsson,SIGMOD Record,2003,7302,"Smad8B, a Smad8 splice variant lacking the SSXS site that inhibits Smad8-mediated signalling","M Nishita, N Ueno, H Shibuya","Genes to Cells,",1999.0,0
1984,What is the Data Warehousing Problem? (Are Materialized Views the Answer?),"Inderpal Singh Mumick, Ashish Gupta",VLDB,1996,28295,A case against the go to,WA Wulf,"Proceedings ACM,",nan,0
1324,Generating Spatiotemporal Datasets on the WWW,"Mario A. Nascimento, Yannis Theodoridis",SIGMOD Record,2000,18627,Generating Spatiotemporal Datasets on the WWW.,ACMS Anthology,"SIGMOD Record,",2000.0,1
2110,Fast Time Sequence Indexing for Arbitrary Lp Norms,"Christos Faloutsos, Byoung-Kee Yi",VLDB,2000,2887,Fast Time Sequence Indexing for Arbitrary$\\ big. L_p\\ bigr.$ Norms,"BK Yi, C Faloutsos","Proc. 26st VLDB Conf,",nan,1
2066,A Language for Manipulating Arrays,"Arunprasad P. Marathe, Kenneth Salem",VLDB,1997,34697,The Basics of Programming Model Design,D Stearns,"Microsoft Coorperation,",nan,0
351,Quasi-Cubes: Exploiting Approximations in Multidimensional Databases,"Daniel Barbar?, Mark Sullivan",SIGMOD Record,1997,47647,Evaluating health promotion programs,MT Braverman??¦,"New Directions for Program Evaluation,",1989.0,0
102,Implementing Data Cubes Efficiently,"Anand Rajaraman, Jeffrey D. Ullman, Venky Harinarayan",SIGMOD Conference,1996,1935,Implementing Data Cubes Efficiently [J],"V Hafinarayan, A Rajaraman, JD Ullman","SIGMOD,",nan,1
637,Disseminating Updates on Broadcast Disks,"Swarup Acharya, Stanley B. Zdonik, Michael J. Franklin",VLDB,1996,6384,Global Use of Strategies To Open Coronary Arteries Investigators (GUSTO),"AM Lincoff, RM Califf, F Van de Werf??¦",Mortality,nan,0
2448,Modelling temporal thematic map contents,"Elaheh Pourabbas, Alberto d'Onofrio",SIGMOD Record,2003,45241,iTeach???Interactive Teaching and Learning,"C Seeberg, K Reichenberger, A Steinacker, S",nan,nan,0
738,Reconciling Schemas of Disparate Data Sources: A Machine-Learning Approach,"AnHai Doan, Pedro Domingos, Alon Y. Halevy",SIGMOD Conference,2001,2797,When Good Fit is Bad: The Dynamics of Perceived Fit,MJ Davern,nan,nan,0
1194,Partitioned Garbage Collection of Large Object Store,"Barbara Liskov, Umesh Maheshwari",SIGMOD Conference,1997,2307,Partitioned garbage collection or a large object store,"U Maheshwari, B Liskov","&hellip;  of the ACM SIGMOD International Conference on Management of &hellip;,",nan,1
1418,Self-similarity in the Web,"Stephen Dill, Andrew Tomkins, Ravi Kumar, Sridhar Rajagopalan, Kevin S. McCurley, D. Sivakumar",VLDB,2001,361,Self-similarity in the Web. 2: 205???223,"S Dill, R Kumar, KS McCurley, S Rajagopalan, D",2002,nan,1
128,Type-Checking OQL Queries In the ODMG Type Systems,Suad Alagic,ACM Trans. Database Syst.,1999,49310,"Employee Stock Ownership Plans, Firm Performance, and Monitoring by Outside Blockholders","S Park, MH Song",nan,nan,0
1403,Approximate Similarity Retrieval with M-Trees,"Fausto Rabitti, Giuseppe Amato, Pavel Zezula, Pasquale Savino",VLDB J.,1998,4418,Automatic Meter Extraction from MIDI Files.,B Meudic,"Proceedings of the Journ?©es d???informatique musicale.  &hellip;,",nan,0
1451,Query Decomposition and View Maintenance for Query Languages for Unstructured Data,Dan Suciu,VLDB,1996,33745,LY188011 phase I study. Research Group of Gemcitabine (LY188011),"T Taguchi, K Furuse, M Fukuoka, T Shimoyama, K","Gan To Kagaku Ryoho,",1996.0,0
936,"Object-Relational Database Systems: Principles, Products, and Challenges (Tutorial)","Michael J. Carey, Anil Nori, Nelson Mendon?a Mattos",SIGMOD Conference,1997,14416,Common Directions Toward Improvement.,EC Galambos,"New Directions for Teaching and Learning,",1986.0,0
16,A Framework for Implementing Hypothetical Queries,"Timothy Griffin, Richard Hull",SIGMOD Conference,1997,57545,"Religion and technology: refiguring place, space, identity and community",L Kong,"Area,",2001.0,0
15,Snowball: A Prototype System for Extracting Relations from Large Text Collections,"Jeff Pavel, Luis Gravano, Aleksandr Voskoboynik, Eugene Agichtein, Viktoriya Sokolova",SIGMOD Conference,2001,39015,Dynamic effect of the non-rigid modified bicycle model,JP Wideberg,"Proceedings of the I MECH E Part D Journal of Automobile  &hellip;,",2002.0,0
2223,A Normal Form for Precisely Characterizing Redundancy in Nested Relations,"Yiu-Kai Ng, David W. Embley, Wai Yin Mok",ACM Trans. Database Syst.,1996,511,Corcus sativus Nigella sativa,KM Nadakarni,1976,nan,0
352,Database Research at the University of Oklahoma,"Sirirut Vanichayobon, Leonard Brown, Ravi A. Dirckze, Sylvain Guinepain, Carlos S?nchez, Le Gruenwald, Brian Summers",SIGMOD Record,1999,26021,Problems in the estimation of growth parameters for the spiny lobster Panulirus argus in the,"J Gonz??les-Cano, CAS Rocha","&hellip;  II World Fisheries Congress (Athens, Greece, 05-08/05/1992) &hellip;,",nan,0
89,Improving Index Performance through Prefetching,"Shimin Chen, Todd C. Mowry, Phillip B. Gibbons",SIGMOD Conference,2001,6655,A mixed approach toward an efficient logical structure recognition from document images,"T Hu, R Ingold",nan,nan,0
1720,Supporting Top-k Join Queries in Relational Databases,"Walid G. Aref, Ahmed K. Elmagarmid, Ihab F. Ilyas",VLDB,2003,58960,Hybrid I/O Automata Revisited,"N Lynch, R Segala, F Vaandrager","LECTURE NOTES IN COMPUTER SCIENCE,",2001.0,0
835,PLASTIC: Reducing Query Optimization Overheads through Plan Recycling,"Jayant R. Haritsa, Vibhuti S. Sengar",SIGMOD Conference,2003,54157,First Things First: Developing a Crime Prevention Program,CB Dahlem,"NEW DIRECTIONS FOR HIGHER EDUCATION,",1996.0,0
1896,Multi-Dimensional Database Allocation for Parallel Data Warehouses,"Holger M?rtens, Erhard Rahm, Thomas St?hr",VLDB,2000,33245,"Small amphiphilic organics, coordination extended solids, and constant curvature structures.","S Lee, AB Mallik, Z Xu, EB Lobkovsky, L Tran","Acc. Chem. Res,",2005.0,0
454,Using Sets of Feature Vectors for Similarity Search on Voxelized CAD Objects,"Martin Pfeifle, Hans-Peter Kriegel, Stefan Brecheisen, Peer Kr?ger, Matthias Schubert",SIGMOD Conference,2003,39558,Cornell and P. Yu. Integration of buffer management and query optimization in relational database,D GM911,Proc. of the 15th International VLDB,11.0,0
2055,Addressing Techniques Used in Database Object Managers O2 and Orion,"Nadjiba Sahraoui, Andr? Gamache",SIGMOD Record,1995,16971,A preprandial rise in plasma ghrelin levels suggests a role in meal initiation in humans,"DE Cummings, JQ Purnell, RS Frayo, K Schmidova, BE","DIABETES-NEW YORK-,",2001.0,0
284,ARIES/CSA: A Method for Database Recovery in Client-Server Architectures,"C. Mohan, Inderpal Narang",SIGMOD Conference,1994,46517,Distributed Computing.,JN Ryland,"New Directions for Higher Education,",1988.0,0
418,Finding Replicated Web Collections,"Narayanan Shivakumar, Junghoo Cho, Hector Garcia-Molina",SIGMOD Conference,2000,27775,"The Therapeutic Community: Study of Effectiveness Treatment Research Monograph# 84-1286, NIDA,",G DeLeon,"Md,",nan,0
1812,Cover Your Assets,Michael A. Olson,SIGMOD Conference,1995,9259,Bernstein and N. Goodman.???Timestamp-Bascd Algorithms for Concurrency Control in Distributed,B PA,"Proceedings of the 6th International Conference on VLDB,  &hellip;,",nan,0
2347,Title,?,VLDB J.,1995,37944,Efficiency in Instantiating Objects from Relational Databases through Views,BS LEE,nan,nan,0
849,Toward Recovery-Oriented Computing,Armando Fox,VLDB,2002,22197,On the autocorrelation structure of TCP traffic,"DR Figueiredo, B Liu, V Misra, D Towsley","Computer Networks,",2002.0,0
517,An Efficient Bitmap Encoding Scheme for Selection Queries,"Chee Yong Chan, Yannis E. Ioannidis",SIGMOD Conference,1999,49027,Metazoan parasites of fishes from Saronicos Gulf,SE Papoutsoglou,"Athens, Greece. Thalassographica,",nan,0
607,Diluting ACID,"Peter Thanisch, Colin Stirling, Tim Kempster",SIGMOD Record,1999,25585,Up and down mini-bucket: a scheme for approximating combinatorial optimization tasks,"J Larrosa, K Kask, R Dechter",2001,nan,0
180,A-TOPSS - A Publish/Subscribe System Supporting Approximate Matching,"Hans-Arno Jacobsen, Haifeng Liu",VLDB,2002,7971,Partial differential equations invariant under conformal or projective transformations,"C Loewner, L Nirenberg","Contributions to Analysis,",nan,0
1700,Query by Humming - in Action with its Technology Revealed,"Yunyue Zhu, Xiaojian Zhao, Dennis Shasha",SIGMOD Conference,2003,24838,On automating Web Service Description,"B Benatallah, MHA Leger, C Rey, F Toumani","VLDB Journal, V (14),",nan,0
66,Finding Data in the Neighborhood,"Andr? Eickler, Alfons Kemper, Donald Kossmann",VLDB,1997,13679,Theory of Spectral Graph Layout,B Beckman,nan,nan,0
2079,The Microsoft Repository,"David Shutt, Jason Zander, Brian Harry, Paul Sanders, Philip A. Bernstein",VLDB,1997,44112,On-orbit Modal Identification of Hubble Space Telescope.,"A Tobin, A Greg","&hellip;  of the American Control Conference, Seattle, Washington,  &hellip;,",nan,0
175,VideoAnywhere: A System for Searching and Managing Distributed Video Assets,"Amit P. Sheth, Kshitij Shah, Clemens Bertram",SIGMOD Record,1999,11463,On Database Theory and XML,D Suciu,"SIGMOD Record,",2001.0,0
858,Distributed Transactions in Practice,"Lyman Do, Pamela Drew, Prabhu Ram",SIGMOD Record,1999,47429,Transport Network Life-Cycle Modelling,M Brownlie,"BT Technology Journal,",2003.0,0
2160,Energy and rate based MAC protocol for wireless sensor networks,"Ramaraju Kalidindi, Vijay Kumar, Rajgopal Kannan, S. Sitharama Iyengar",SIGMOD Record,2003,44244,"University of South Carolina Ph. D 1987, 189 pages. THE USE OF KNOWLEDGE-BASED RECLASSIFIERS IN",ME HODGSON,nan,nan,0
996,Copy Detection Mechanisms for Digital Documents,"Hector Garcia-Molina, Sergey Brin, James Davis",SIGMOD Conference,1995,47905,Boom times,BM Abdur-Razzaq,"PC Magazine,",nan,0
1892,A Non-Uniform Data Fragmentation Strategy for Parallel Main-Menory Database Systems,"Nick Bassiliades, Ioannis P. Vlahavas",VLDB,1995,744,J. Cardiff-Graphical Interaction with Heterogeneous Databases-,"T Catarci, G Santucci","VLDB Journal, to be",nan,0
508,Buffering and Read-Ahead Strategies for External Mergesort,"Per-?ke Larson, Weiye Zhang",VLDB,1998,48961,Long-term movie popularity models in video-on-demand systems,"C Griwodz, M Bar, LC Wolf",Proceedings of ACM Multimedia,1997.0,0
1380,"Jeffrey D. Ullman Speaks Out on the Future of Higher Education, Startups, Database Theory, and More",Marianne Winslett,SIGMOD Record,2001,14102,Structure and semantics in OODB class specifications,"J Geller, Y Perl, EJ Neuhold","ACM SIGMOD Record,",1991.0,0
2059,User-cognizant multidimensional analysis,Sunita Sarawagi,VLDB J.,2001,9185,"Patterns, mechanisms and consequences of recruitment in a temperate marine&quot; sh",MH Carr,1991,nan,0
786,Databases for GIS,"Claudia Bauzer Medeiros, Fatima Pires",SIGMOD Record,1994,57835,Corrosion Detection in Reinforced Bridge Structures,FHA FHWA,"Users Manual, Demonstration Project",nan,0
1267,CapBasED-AMS: A Capability-based and Event-driven Activity Management System,"Kamalakar Karlapalem, Helen P. Yeung, Patrick C. K. Hung",SIGMOD Conference,1996,16456,"H. P1. Yeung and K. Karlapalem, CapBasED-AMS: A capability-based and event-driven activity",PCK Hung,Proceedings of the ACM SIGMOD Conference on Management of,nan,1
331,Supporting Valid-Time Indeterminacy,"Richard T. Snodgrass, Curtis E. Dyreson",ACM Trans. Database Syst.,1998,23322,Using multiversion data for non-interfering executionof write-only transactions,"D Agrawal, V Krishnamurthy",Proceedingof the ACM SIGMOD,nan,0
400,RETINA: A REal-time TraffIc NAvigation System,"Edward Chan, Tei-Wei Kuo, S. W. Ng, Dick Hung, Kam-yiu Lam",SIGMOD Conference,2001,21342,Role of vanadium in biology,"BR Nechay, LB Nanninga, PSE Nechay, RL Post, JJ","Fed Proc,",nan,0
1963,Approximate XML joins,"H. V. Jagadish, Ting Yu, Divesh Srivastava, Sudipto Guha, Nick Koudas",SIGMOD Conference,2002,10889,Tree queries: a simple class of relational queries,"N Goodman, O Shmueli","ACM Transactions on Database Systems (TODS),",1982.0,0
619,Chair's Message,M. Tamer ?zsu,SIGMOD Record,2002,10019,Domestic Violence in the Emergency Department: How Do Women Prefer to Disclose and Discuss the,"SR Hayden, ED Barton, M Hayden","JOURNAL OF EMERGENCY MEDICINE,",1997.0,0
956,Load Shedding in a Data Stream Manager,"Michael Stonebraker, Nesime Tatbul, Mitch Cherniack, Stanley B. Zdonik, Ugur ?etintemel",VLDB,2003,55887,Towards practical constraint databases (extended abstract),"S Grumbach, J Su","Proceedings of the fifteenth ACM SIGACT-SIGMOD-SIGART  &hellip;,",1996.0,0
946,MOSAICO - A System for Conceptual Modeling and Rapid Prototyping of Object-Oriented Database Application,"M. Toiati, Michele Missikoff",SIGMOD Conference,1994,35861,"CORAL: Control, Relations and Logic","R Ramakrishnan, D Srivastava, S Sudarshan","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1992.0,0
1162,eBusiness Standards and Architectures,Anil Nori,VLDB,2002,3177,New Urbanism and the Culture of Criticism,E Talen,"URBAN GEOGRAPHY,",2000.0,0
1930,Unix RDBMS: The Next Generation,Bill Rosneblatt,SIGMOD Record,1994,17802,User interactivity in very large scale data mining,"S Wrobel, D Wettschereck, AI Verkamo, A Siebes, H",nan,nan,0
1501,Multi-Step Processing of Spatial Joins,"Ralf Schneider, Thomas Brinkhoff, Bernhard Seeger, Hans-Peter Kriegel",SIGMOD Conference,1994,1776,Schneider: Multi-Step Processing of Spatial Joins,"T Brinkhoff, HP Kriegel","Proc. ACM-SIGMOD Intl. Conf. on Management of Data,  &hellip;,",nan,1
2149,A Top-Down Approach for Two Level Serializability,"N. L. Belkhodja, Mourad Ouzzani, M. A. Atroun",VLDB,1994,13295,Analytic Modeling of Computer Systems,K TRIVEDI,"IEEE Computer,",nan,0
529,The Lowell Report,"Hans-J?rg Schek, Michael Stonebraker, Jim Gray, Jeffrey D. Ullman",SIGMOD Conference,2003,17346,Understanding COM+: the architecture for enterprise development using Microsoft technologies,DS Platt,1999,nan,0
1762,Supporting Exceptions to Schema Consistency to Ease Schema Evolution in OODBMS,"Eric Dujardin, Eric Simon, Marie-Jo Bellosta, Eric Amiel",VLDB,1994,54142,Indexing mixed types for approximate retrieval,"L Jin, N Koudas, C Li, AK Tung",nan,nan,0
