tableA_id,tableA_https://www.scads.de/movieBenchmark/ontology/title,tableA_https://www.scads.de/movieBenchmark/ontology/name,tableA_http://dbpedia.org/ontology/episodeNumber,tableA_http://dbpedia.org/ontology/seasonNumber,tableA_http://dbpedia.org/ontology/deathYear,tableA_http://dbpedia.org/ontology/birthYear,tableA_https://www.scads.de/movieBenchmark/ontology/endYear,tableA_https://www.scads.de/movieBenchmark/ontology/startYear,tableA_https://www.scads.de/movieBenchmark/ontology/genre_list,tableA_https://www.scads.de/movieBenchmark/ontology/primaryProfessions,tableA_https://www.scads.de/movieBenchmark/ontology/runtimeMinutes,tableB_id,tableB_https://www.scads.de/movieBenchmark/ontology/title,tableB_https://www.scads.de/movieBenchmark/ontology/name,tableB_http://dbpedia.org/ontology/abstract,tableB_http://dbpedia.org/ontology/episodeNumber,tableB_http://dbpedia.org/ontology/seasonNumber,tableB_http://dbpedia.org/ontology/numberOfSeasons,tableB_http://dbpedia.org/ontology/numberOfEpisodes,tableB_http://dbpedia.org/ontology/birthDate,tableB_http://dbpedia.org/ontology/releaseDate,tableB_https://www.scads.de/movieBenchmark/ontology/last_air_date,tableB_https://www.scads.de/movieBenchmark/ontology/release_year,tableB_http://dbpedia.org/ontology/runtime,tableB_https://www.scads.de/movieBenchmark/ontology/genre_list,tableB_https://www.scads.de/movieBenchmark/ontology/origin_country,label
4949,Die Abenteuer des braven Soldaten Schwejk,nan,nan,nan,nan,nan,nan,1972-01-01,"Comedy,War",nan,60.0,4678,Devil's Whisperer (2),nan,nan,11.0,1.0,nan,nan,nan,2017-02-25,nan,2017-01-01,nan,nan,nan,0
1231,nan,Gerd Blahuschek,nan,nan,nan,1943-01-01,nan,nan,nan,actor,nan,4312,Letter to Loretta: Girl on a Flagpole,nan,nan,4.0,1.0,nan,nan,nan,1953-10-11,nan,1953-01-01,nan,nan,nan,0
3498,The Swindle,nan,27.0,1.0,nan,nan,nan,1961-01-01,"Adventure,Drama,Family",nan,30.0,4469,Judith,nan,nan,17.0,1.0,nan,nan,nan,1960-02-01,nan,1960-01-01,nan,nan,nan,0
3030,nan,David Perry,nan,nan,nan,1970-01-01,nan,nan,nan,"actor,director,producer",nan,3321,nan,Keith Sewell,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3089,nan,Julien Temple,nan,nan,nan,1953-01-01,nan,nan,nan,"director,writer,producer",nan,4641,nan,Stephen Sobisky,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1154,nan,Carl Benton Reid,nan,nan,1973-01-01,1893-01-01,nan,nan,nan,actor,nan,2208,?????????,nan,nan,32.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2578,nan,Willi Rose,nan,nan,1978-01-01,1902-01-01,nan,nan,nan,"actor,soundtrack",nan,3960,nan,Stephen Bishop,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2271,nan,Yuka Iguchi,nan,nan,nan,nan,nan,nan,nan,"actress,soundtrack",nan,903,nan,Luc Besson,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4531,nan,Eduard Franz,nan,nan,1983-01-01,1902-01-01,nan,nan,nan,"actor,soundtrack",nan,5956,nan,Gabrielle Doulcet,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3385,nan,Peggy Converse,nan,nan,2001-01-01,1905-01-01,nan,nan,nan,actress,nan,2476,Episode 14,nan,"The F4 comes to Macau and joins Jandi. They meet Junpyo and ask why he’s ignoring Jandi, but he only says that Jandi is no longer related to him. Jandi acts as if she’s alright, but can’t stop crying in front of Jihoo who looks like understanding everything. Jihoo helps the two to meet up, but Junpyo reconfirms the end of their relationship. When Jihoo and Jandi are about to go back to Korea, they unexpectedly meet Jihoo’s friend and were invited to his house in suburbs..",14.0,1.0,nan,nan,nan,2009-02-17,nan,2009-01-01,nan,nan,nan,0
3442,nan,Nick Clarke Powell,nan,nan,nan,nan,nan,nan,nan,"producer,director,writer",nan,4865,Episode 8,nan,nan,8.0,3.0,nan,nan,nan,2019-06-02,nan,2019-01-01,nan,nan,nan,0
2219,Krazee-Eyez Killa,nan,8.0,3.0,nan,nan,nan,2002-01-01,Comedy,nan,30.0,4588,nan,Geopoly,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2727,nan,T.J. English,nan,nan,nan,nan,nan,nan,nan,"writer,producer",nan,1547,nan,Mandingo,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1801,Big Jim,nan,14.0,2.0,nan,nan,nan,1954-01-01,Drama,nan,30.0,3092,Sister,nan,"Violet panics when her wealthy sister Lillian plans a visit. Ash wants to introduce the group to his new girlfriend, Jess.",1.0,2.0,nan,nan,nan,2015-06-01,nan,2015-01-01,nan,nan,nan,0
403,nan,Ernest R. Dickerson,nan,nan,nan,1951-01-01,nan,nan,nan,"director,cinematographer,camera_department",nan,4215,nan,Miramax,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,US,0
829,nan,Craig Horner,nan,nan,nan,1983-01-01,nan,nan,nan,"actor,producer",nan,3432,Romantics and Realists,nan,"This programme covers verse of the late Victorian period and the early twentieth century, with poems by Thomas Hardy, Gerard Manley, A.E. Houseman and Rudyard Kipling.",14.0,1.0,nan,nan,nan,1984-11-25,nan,1984-01-01,nan,nan,nan,0
2665,nan,William Pettigrew,nan,nan,nan,nan,nan,nan,nan,"producer,director,editor",nan,3574,nan,Giovanna Antonelli,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2439,nan,Hilly Hicks,nan,nan,nan,1950-01-01,nan,nan,nan,"actor,director",nan,5562,nan,Brian D. Lucas,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
610,Sawtucket Festival,nan,2.0,1.0,nan,nan,nan,1957-01-01,Adventure,nan,30.0,4022,nan,Gordon Danniels,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4446,nan,Edong Canlas,nan,nan,nan,nan,nan,nan,nan,producer,nan,4664,nan,Nozomi Ushijima,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1838,Chapter 50,nan,11.0,4.0,nan,nan,nan,2016-01-01,Drama,nan,52.0,2058,nan,Erin Volkman,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3527,nan,Christopher Sabat,nan,nan,nan,1973-01-01,nan,nan,nan,"actor,producer,miscellaneous",nan,5313,nan,Strand Releasing,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3025,Hotel Irritant,nan,15.0,1.0,nan,nan,nan,1953-01-01,Drama,nan,30.0,1652,nan,Gerard Loomans,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
265,nan,Miklos Perlus,nan,nan,nan,1977-01-01,nan,nan,nan,"actor,miscellaneous,producer",nan,2612,nan,Vettukili Prakash,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4935,nan,Craig Rockey,nan,nan,nan,nan,nan,nan,nan,nan,nan,1881,nan,Jeff Beal,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2494,Wandering Bear,nan,8.0,4.0,nan,nan,nan,2004-01-01,Comedy,nan,29.0,3190,Wandering Bear,nan,"The purschasing of a video endangers Larry's relationship with his secretary, Antoinette, and almost kills Jeff and Susie's best friend.  Cheryl gets medical advice from an unorthodox source.",8.0,4.0,nan,nan,nan,2004-02-29,nan,2004-01-01,nan,nan,nan,1
4122,The Assassins,nan,9.0,3.0,nan,nan,nan,1961-01-01,Adventure,nan,48.0,2401,nan,Colin Brooks,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4220,nan,Eddie Hamilton,nan,nan,nan,nan,nan,nan,nan,"editor,editorial_department,sound_department",nan,3493,Scandinavia,nan,"Baz Ashmawy and his mother Nancy's adventures take them to Scandinavia, where they undergo a nailbiting gyrocopter ride, drive a colossal tank and charge across the snow on a dog sled. Their trip ends at Santa's Elf School, where Nancy is in for a big surprise.",2.0,2.0,nan,nan,nan,2015-09-08,nan,2015-01-01,nan,nan,nan,0
4339,A Case of Do or Die,nan,14.0,7.0,nan,nan,nan,1999-01-01,"Crime,Drama,Mystery",nan,nan,5340,A Case of Do or Die,nan,"Ballard and Bayliss are called to the scene of the mysterious death of a woman, whose body is found at the bottom of a forty-foot cliff. This victim was to be married the following morning. The two detectives work to determine whether the death was accidental or intentional (via murder or suicide). Meanwhile Sheppard and MGee begin investigating the death of a movie patron, whose body was discovered after the show ended and the theater cleared out. MGee mentions to Sheppard that his sister is about to have a baby, which means Gee is about to become a grandfather. Their investigation reveals that the movie patron was regularly loud and obnoxious and thus bad for business. When an overdose of a sedative is found in his bloodstream, the detectives question the theater owner, who was currently in litigation with the victim. Unfortunately for Ballard and Bayliss, their case remains unsolved.",14.0,7.0,nan,nan,nan,1999-02-12,nan,1999-01-01,nan,nan,nan,1
850,nan,Ward Weemhoff,nan,nan,nan,nan,nan,nan,nan,actor,nan,3688,The Irishmen,nan,nan,5.0,2.0,nan,nan,nan,1960-10-31,nan,1960-01-01,nan,nan,nan,0
4555,nan,Jimmy McGovern,nan,nan,nan,1949-01-01,nan,nan,nan,"writer,producer,miscellaneous",nan,5416,Beached,nan,nan,29.0,1.0,nan,nan,nan,1960-05-02,nan,1960-01-01,nan,nan,nan,0
2990,nan,William Fawcett,nan,nan,1974-01-01,1894-01-01,nan,nan,nan,actor,nan,5258,nan,Alex Graves,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3424,nan,Winnie Markus,nan,nan,2002-01-01,1921-01-01,nan,nan,nan,"actress,soundtrack,producer",nan,664,nan,Daniel Costelle,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1355,nan,Michael Forest,nan,nan,nan,1929-01-01,nan,nan,nan,"actor,miscellaneous,sound_department",nan,267,nan,Henry Bromell,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2430,The Brothers Gruff,nan,9.0,2.0,nan,nan,nan,1994-01-01,"Animation,Comedy,Fantasy",nan,21.0,59,nan,Bernard Grenet,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1488,"M.E., Myself and I",nan,5.0,5.0,nan,nan,nan,1996-01-01,"Crime,Drama,Mystery",nan,60.0,2675,nan,Candace B. Harris,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1926,nan,Suzi Crandall,nan,nan,nan,1924-01-01,nan,nan,nan,actress,nan,2080,nan,Eddie Barbini,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1925,nan,Tuomas Milonoff,nan,nan,nan,1974-01-01,nan,nan,nan,"producer,director,writer",nan,3277,The Great War and Modern Memory,nan,"The disappearance of a young Arkansas boy and his sister in 1980 triggers vivid memories and enduring questions for retired detective Wayne Hays, who worked the case 35 years before with partner Roland West. What started as a routine case becomes a long journey to dissect and make sense of the crime.",1.0,3.0,nan,nan,nan,2019-01-13,nan,2019-01-01,nan,nan,nan,0
1046,Point of Honor,nan,4.0,1.0,nan,nan,nan,1962-01-01,"Drama,Sport,Western",nan,60.0,5064,Point of Honor,nan,"Stoney and E.J. notice that local boy Soames Hewitt is drunk, just moments before he is scheduled to ride a dangerous brahma bull.",4.0,1.0,nan,nan,nan,1962-10-22,nan,1962-01-01,nan,nan,nan,1
586,nan,Elin Pelin,nan,nan,1949-01-01,1878-01-01,nan,nan,nan,writer,nan,1666,nan,Dante Di Pinto,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1743,nan,Marianna Hill,nan,nan,nan,1942-01-01,nan,nan,nan,"actress,soundtrack",nan,2854,nan,Andr? Piltant,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
158,nan,Valentina Cardinalli,nan,nan,nan,1975-01-01,nan,nan,nan,actress,nan,4927,nan,Michael Elwyn,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1564,Chapter 36,nan,10.0,3.0,nan,nan,nan,2015-01-01,Drama,nan,57.0,2372,Night Rescue,nan,nan,10.0,1.0,nan,nan,nan,1957-12-05,nan,1957-01-01,nan,nan,nan,0
4435,nan,Rupert Everett,nan,nan,nan,1959-01-01,nan,nan,nan,"actor,soundtrack,producer",nan,5561,nan,John Cooper Clarke,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
477,Wild Mangoes,nan,28.0,2.0,nan,nan,nan,1961-01-01,Adventure,nan,60.0,5145,Wild Mangoes,nan,nan,28.0,2.0,nan,nan,nan,1961-05-01,nan,1961-01-01,nan,nan,nan,1
4167,nan,B.J. McLellan,nan,nan,nan,nan,nan,nan,nan,actor,nan,2696,The Thievingest Dog,nan,nan,1.0,1.0,nan,nan,nan,1957-09-26,nan,1957-01-01,nan,nan,nan,0
1334,Twenty Years to Midnight,nan,5.0,2.0,nan,nan,nan,2006-01-01,"Action,Adventure,Animation",nan,22.0,3948,nan,Dipankar Dey,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3850,nan,Jack Jordan,nan,nan,1984-01-01,1903-01-01,nan,nan,nan,actor,nan,990,nan,Martha Lavey,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
5090,Happy to Be Here,nan,5.0,3.0,nan,nan,nan,1994-01-01,"Crime,Drama,Mystery",nan,nan,1321,nan,Campbell Scott,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1378,The Glass Cage,nan,7.0,8.0,nan,nan,nan,1960-01-01,Drama,nan,30.0,5150,Harbormaster,nan,"Harbormaster is an American adventure/drama series that premiered on September 26, 1957 on CBS. In January 1958, the series was renamed Adventure at Scott Island and began airing on ABC. Harbormaster was a Ziv production.",nan,nan,1.0,26.0,nan,1957-09-26,1958-05-25,1957-01-01,30,Drama,US,0
4710,nan,Bill Gunn,nan,nan,1989-01-01,1929-01-01,nan,nan,nan,"actor,writer,director",nan,5236,Crisis,nan,nan,10.0,1.0,nan,nan,nan,1960-11-20,nan,1960-01-01,nan,nan,nan,0
3498,The Swindle,nan,27.0,1.0,nan,nan,nan,1961-01-01,"Adventure,Drama,Family",nan,30.0,4789,Lies and Other Truths,nan,"'A slightly intoxicated man (driving with his wife) aggressively whips his car around a state-owned truck; the offended truck driver rams their car; their aggression results in a collision where both drivers die. The man's wife is in serious condition. Kellerman and Munch investigate this case. Falsone gets prepared for the final hearing in his bid for custody of his son. Meanwhile, the other detectives investigate the death of a man who made a mobile phone call from the coffin in which he had been buried alive. The coffin was buried in the parade ground of an old spy school. The victim might have remained alive if the lid hadn't been sabotaged to collapse. In the car / truck collision case, Cox's boss wants her to ''''verify'''' the results of the car driver's blood alcohol level to help protect the state from serious litigation. An old Russian friend of Gee's furnishes them with information that leads the detectives to the discovery of a group of men who couldn't make it as spies. (They cal",14.0,6.0,nan,nan,nan,1998-03-06,nan,1998-01-01,nan,nan,nan,0
423,nan,Tatsuya Oishi,nan,nan,nan,nan,nan,nan,nan,"director,art_department,production_manager",nan,1280,Shockers:  Parent's Night,nan,"Horror/Thriller about a bullied schoolboy who is pushed over the top by his oppressors, and his mother's more-than-rash reaction to her son's death.",nan,nan,nan,nan,nan,2000-01-01,nan,2000-01-01,48,Thriller,nan,0
943,El campo para el hombre,nan,nan,nan,nan,nan,nan,1975-01-01,nan,nan,50.0,2256,El campo para el hombre,nan,"'''El campo para el hombre'' was a politically militant documentary about the small holdings of land in the north of Spain and the large estates in the south of the country. This film portrays the exploitation and misery of the Spanish peasants, but also their class-consciousness and their will to fight for their rights and freedom. The film was shot in the late years of Franco's dictatorship, so it was made in secrecy (the directors were connected to the Spanish Communist Party).",nan,nan,nan,nan,nan,1975-01-01,nan,1975-01-01,48,Documentary,nan,1
3289,nan,Jeremy Podeswa,nan,nan,nan,1962-01-01,nan,nan,nan,"director,writer,miscellaneous",nan,2031,The Queen,nan,"Monty wonders whether the Queen has perfect manners all the time, or whether even royalty slip up now and then.",30.0,1.0,nan,nan,nan,2016-09-16,nan,2016-01-01,nan,nan,nan,0
1507,Dirtiest Tools,nan,1.0,2.0,nan,nan,nan,2006-01-01,Reality-TV,nan,nan,311,Chapter 24,nan,A Special Prosecutor interrogates Francis. Remy Danton tries to keep his options open. Stamper wrestles with his demons.,11.0,2.0,nan,nan,nan,2014-02-14,nan,2014-01-01,nan,nan,nan,0
2746,Other Lives,nan,5.0,2.0,nan,nan,nan,2015-01-01,"Crime,Drama,Mystery",nan,59.0,3753,nan,Jarom?r Dulava,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1662,nan,Barbara Kopple,nan,nan,nan,1946-01-01,nan,nan,nan,"director,producer,sound_department",nan,5492,Hunters in the Dark,nan,"Wayne and Roland revisit discrepancies in the Purcell case that were hidden or forgotten over the years. Among those being reevaluated is Tom Purcell, as well as Lucy Purcell’s cousin, Dan O’Brien. The glitter of Amelia’s book release is tarnished by a voice from the past.",6.0,3.0,nan,nan,nan,2019-02-10,nan,2019-01-01,nan,nan,nan,0
3377,nan,Anna Sten,nan,nan,1993-01-01,1908-01-01,nan,nan,nan,"actress,soundtrack,miscellaneous",nan,4867,A Disturbance in the Kitchen,nan,"Larry turns to a writer for advice. Searching for Susie’s missing “little sister,” he gets ticketed by an overzealous cop.",3.0,9.0,nan,nan,nan,2017-10-15,nan,2017-01-01,nan,nan,nan,0
546,The Intruders,nan,2.0,2.0,nan,nan,nan,1960-01-01,Adventure,nan,60.0,5943,nan,Hannu Karisto,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4129,Albert Einstein,nan,6.0,2.0,nan,nan,nan,2004-01-01,"Biography,Comedy,Documentary",nan,nan,912,nan,Ingeborg von Kusserow,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
210,nan,Mike Connors,nan,nan,2017-01-01,1925-01-01,nan,nan,nan,"actor,producer,miscellaneous",nan,3033,nan,Kaleem Janjua,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1402,nan,Tom Drake,nan,nan,1982-01-01,1918-01-01,nan,nan,nan,"actor,soundtrack",nan,5003,Weder-weder lang 'yan,nan,"Arrogant Don Emilio is a rich man who have maids, a private nurse Nikki, and later a sexy, personal secretary Susie at his disposal. He has two brothers, Dodong and Egay who have sinister thoughts on him, as they want his riches. After some slapstick mishaps and when the Don seemingly went bankrupt, he left his mansion to live with the two but experiences unfair treatment. He ended up living with his stepbrother Edwin in the slum, but his arrogance and his annoying cohorts resulted to differences with Edwin and his girlfriend Girlie. Unbeknown to them, Don Emilio is actually playing a scheme of his own to determine which brother really cares for him the most.",nan,nan,nan,nan,nan,1999-11-24,nan,1999-01-01,nan,Comedy,nan,0
3875,nan,Jane Sparkes,nan,nan,nan,1937-01-01,nan,nan,nan,writer,nan,5211,nan,Miguel ?ngel Mu?oz,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3243,nan,Lawrence Bayne,nan,nan,nan,1960-01-01,nan,nan,nan,actor,nan,604,nan,Jerry Gracio,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
151,The Car Salesman,nan,1.0,2.0,nan,nan,nan,2001-01-01,Comedy,nan,30.0,5124,The Car Salesman,nan,"Larry David and his wife purchase a new oceanfront home owned by a television star's agent. Meanwhile, Larry shocks his wife and friends by deciding to take a job as a car salesman.",1.0,2.0,nan,nan,nan,2001-09-23,nan,2001-01-01,nan,nan,nan,1
3146,nan,Glenn Eichler,nan,nan,nan,nan,nan,nan,nan,"writer,producer,miscellaneous",nan,3499,Chapter 27,nan,"A rocky start for the Underwood Presidency. Frank wants to introduce an ambitious jobs program, while Claire sets her sights on the United Nations.",1.0,3.0,nan,nan,nan,2015-02-27,nan,2015-01-01,nan,nan,nan,0
2193,nan,Scott Langley,nan,nan,nan,nan,nan,nan,nan,actor,nan,654,nan,Milla Jovovich,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2198,"On Your Honor, Your Honor",nan,8.0,2.0,nan,nan,nan,1954-01-01,Drama,nan,30.0,4942,nan,Robert Butler,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2939,nan,Sharon Guskin,nan,nan,nan,nan,nan,nan,nan,"writer,producer",nan,2395,nan,Jun'ya Yamazaki,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4682,nan,Stephen Dorff,nan,nan,nan,1973-01-01,nan,nan,nan,"actor,producer,soundtrack",nan,4127,nan,Stephen Dorff,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
1787,Inga II,nan,29.0,2.0,nan,nan,nan,1955-01-01,Drama,nan,30.0,4879,People in Glass Houses Shouldn't Throw Fish,nan,nan,1.0,2.0,nan,nan,nan,2015-02-03,nan,2015-01-01,nan,nan,nan,0
1883,nan,Anne Helm,nan,nan,nan,1938-01-01,nan,nan,nan,actress,nan,3511,nan,Charlie Cho,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
181,nan,Wright King,nan,nan,2018-01-01,1923-01-01,nan,nan,nan,actor,nan,5730,nan,Paul Verhoeven,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3216,nan,Carlo Tricoli,nan,nan,1966-01-01,1889-01-01,nan,nan,nan,actor,nan,2168,nan,Collin O'Neal,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4808,The Complaint,nan,3.0,1.0,nan,nan,nan,2005-01-01,Comedy,nan,nan,651,nan,Suzanne Pleshette,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2663,nan,Eddie Fontaine,nan,nan,1992-01-01,1927-01-01,nan,nan,nan,"actor,soundtrack",nan,2563,nan,Kazuyoshi Okuyama,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
575,nan,William Munchow,nan,nan,1991-01-01,1915-01-01,nan,nan,nan,actor,nan,803,La Famiglia,nan,"Bayliss returns to duty to discover the bosses have renovated the squad room in an attempt to make everyone forget the tragedy of last May. Gharty and Ballard have also returned and Ballard debates about whether she should ask Falsone to the Lodge party. New detective, Rene Sheppard, tells her just to go for it. Seizing the opportunity, Lewis goes for it and asks Sheppard to the party; it seems that he and Barbara have separated and are on their way to divorce. Meanwhile, Falsone speculates if he should ask Sheppard to the party. The first case Bayliss catches, now partnered with Munch, involves the dismembered body of Angelo Faltislo, a friend of Gee's cousin, Mario Giardello. Stivers and Falsone's case is similar: Leo Grimaldi, another friend of Mario, is also found dead. When Gee goes to question cousin Mario, he finds Mario's body in the same condition as that of his friends. Gee's estranged son, Mike Giardello, an FBI agent in Arizona, returns for the funeral. Mike asks Falsone (w",1.0,7.0,nan,nan,nan,1998-09-25,nan,1998-01-01,nan,nan,nan,0
2395,The Pretender,nan,7.0,3.0,nan,nan,nan,1961-01-01,Adventure,nan,49.0,5812,D-I-- DIMEO A-C-- ACADEMY,nan,"After a dust-up with Lafayette High, Maya runs to JJ’s rescue and launches her own school out of the DiMeo home. Her program becomes a true DiMeo affair when Ray and Dylan enroll and Jimmy joins the faculty. Meanwhile, Kenneth sets out to prove to his ex-wife that he’s living a successful life.",13.0,2.0,nan,nan,nan,2018-01-17,nan,2018-01-01,nan,nan,nan,0
2739,nan,William Boyett,nan,nan,2004-01-01,1927-01-01,nan,nan,nan,"actor,miscellaneous",nan,4505,nan,Toshimasa Suzuki,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1339,nan,Murray Hamilton,nan,nan,1986-01-01,1923-01-01,nan,nan,nan,actor,nan,3636,Episode 4,nan,nan,4.0,1.0,nan,nan,nan,2007-11-02,nan,2007-01-01,nan,nan,nan,0
3160,nan,Cameron Mitchell,nan,nan,1994-01-01,1918-01-01,nan,nan,nan,"actor,soundtrack,director",nan,817,Episode 3,nan,nan,3.0,2.0,nan,nan,nan,2014-09-17,nan,2014-01-01,nan,nan,nan,0
3641,nan,Joseph Goebbels,nan,nan,1945-01-01,1897-01-01,nan,nan,nan,"writer,producer",nan,4539,nan,Joseph Goebbels,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
2289,Kincaid,nan,28.0,1.0,nan,nan,nan,1963-01-01,"Drama,Sport,Western",nan,nan,1109,nan,Ellen Heuer,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
638,nan,Frank McDonald,nan,nan,1980-01-01,1899-01-01,nan,nan,nan,"director,miscellaneous,actor",nan,3386,Karaoke,nan,"Daniel Feeld,  writer of the film Karaoke, starts to believe that his characters are coming alive.",nan,nan,1.0,4.0,nan,1996-04-28,1996-05-19,1996-01-01,63,Drama,GB,0
5088,nan,Frederik Brom,nan,nan,nan,1975-01-01,nan,nan,nan,actor,nan,702,Whale,nan,Isabella Rossellini explores the mating habits of whales.,2.0,2.0,nan,nan,nan,2009-04-01,nan,2009-01-01,nan,nan,nan,0
3371,nan,Pavel Landovsk?,nan,nan,2014-01-01,1936-01-01,nan,nan,nan,actor,nan,973,nan,Ian Toynton,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1920,nan,Tracy Ryan,nan,nan,nan,1971-01-01,nan,nan,nan,actress,nan,2708,nan,Christopher Adamson,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4404,nan,Mary Sullivan,nan,nan,nan,nan,nan,nan,nan,actress,nan,5765,Episode 6,nan,nan,6.0,1.0,nan,nan,nan,1984-05-12,nan,1984-01-01,nan,nan,nan,0
1982,nan,Kim Joon,nan,nan,nan,nan,nan,nan,nan,actor,nan,5595,nan,Jean-Marie Blondel,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2412,A Pattern of Deceit,nan,14.0,3.0,nan,nan,nan,1955-01-01,Drama,nan,30.0,3757,nan,Jeremy Saulnier,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4776,Chapter 67,nan,2.0,6.0,nan,nan,nan,2018-01-01,Drama,nan,53.0,1089,nan,Brion James,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3982,The Bad Apple,nan,21.0,4.0,nan,nan,nan,1957-01-01,Drama,nan,30.0,3847,nan,Shin Oonuma,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
139,The Damage Done,nan,20.0,4.0,nan,nan,nan,1996-01-01,"Crime,Drama,Mystery",nan,nan,3753,nan,Jarom?r Dulava,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3563,nan,Rajeev Ravi,nan,nan,nan,nan,nan,nan,nan,"cinematographer,director,writer",nan,957,nan,Rajeev Ravi,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
4728,nan,Sam Forman,nan,nan,nan,nan,nan,nan,nan,"producer,writer,miscellaneous",nan,151,Episode 14,nan,nan,14.0,2.0,nan,nan,nan,2017-08-14,nan,2017-01-01,nan,nan,nan,0
3057,nan,Karen White,nan,nan,nan,nan,nan,nan,nan,actress,nan,1028,O cvr?kovi,nan,"Short stories about the cricket and his magic violin. No matter what happens, with the help of his violin and it’s soothing sounds the cricket will always find a solution to his problems.",nan,nan,1.0,7.0,nan,1983-03-02,1983-03-08,1983-01-01,5,Animation,XC,0
3346,Cousin Eunice,nan,13.0,1.0,nan,nan,nan,1962-01-01,"Drama,Sport,Western",nan,nan,688,nan,Tymon Dogg,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
